region_name,model,issue_date,lead_day,forecast_date,station_count,area_coverage_pct,usable,temp_max,temp_min,apparent_temp,wind_chill,heat_index,relative_humidity,wind_speed,wind_gust,cloud_cover,shortwave_radiation,precipitation,snowfall
山东省,ecmwf_ifs025,2024-12-31,1,2025-01-01,16,100.0,1,8.58,-2.15,-1.68,-4.75,,59.16,6.6,,1.44,9.78,0.0,
山东省,ecmwf_ifs025,2024-12-30,2,2025-01-01,16,100.0,1,8.66,-2.05,-1.95,-4.73,,56.98,6.96,,0.58,9.86,0.0,
山东省,ecmwf_ifs025,2024-12-29,3,2025-01-01,16,100.0,1,8.47,-2.23,-2.33,-5.1,,55.72,7.4,,0.22,9.91,0.0,
山东省,ecmwf_ifs025,2024-12-28,4,2025-01-01,16,100.0,1,8.46,-2.09,-2.36,-5.25,,55.83,8.35,,0.01,9.9,0.0,
山东省,ecmwf_ifs025,2024-12-27,5,2025-01-01,16,100.0,1,8.03,-1.87,-2.48,-5.23,,57.29,9.17,,0.35,9.86,0.0,
山东省,ecmwf_ifs025,2024-12-26,6,2025-01-01,16,100.0,1,5.91,-2.36,-3.64,-6.03,,57.29,9.96,,0.12,11.33,0.0,
山东省,ecmwf_ifs025,2024-12-25,7,2025-01-01,16,100.0,1,6.79,-3.45,-3.81,-6.87,,48.05,8.2,,0.6,11.58,0.0,
山东省,gfs_seamless,2024-12-31,1,2025-01-01,16,100.0,1,9.08,0.49,-0.1,-2.01,,42.05,6.95,22.35,7.13,10.7,0.0,0.0
山东省,gfs_seamless,2024-12-30,2,2025-01-01,16,100.0,1,8.57,0.13,-0.56,-2.61,,40.54,6.91,20.27,6.84,10.74,0.0,0.0
山东省,gfs_seamless,2024-12-29,3,2025-01-01,16,100.0,1,8.43,-0.1,-0.72,-2.92,,39.48,6.76,17.33,14.61,10.76,0.0,0.0
山东省,gfs_seamless,2024-12-28,4,2025-01-01,16,100.0,1,8.4,-0.14,-0.83,-2.76,,39.83,6.91,16.28,12.44,10.78,0.0,0.0
山东省,gfs_seamless,2024-12-27,5,2025-01-01,16,100.0,1,7.89,-0.17,-1.3,-3.26,,40.39,9.27,27.13,22.84,10.36,0.0,0.0
山东省,gfs_seamless,2024-12-26,6,2025-01-01,16,100.0,1,5.47,-1.89,-4.11,-6.73,,33.63,15.3,50.24,11.05,10.61,0.0,0.0
山东省,gfs_seamless,2024-12-25,7,2025-01-01,16,100.0,1,6.22,-2.39,-3.96,-6.48,,32.32,11.33,34.57,13.34,10.7,0.0,0.0
山东省,jma_seamless,2024-12-31,1,2025-01-01,16,100.0,1,8.28,-1.2,-1.71,-3.82,,46.27,6.19,,3.27,9.86,0.0,0.0
山东省,jma_seamless,2024-12-30,2,2025-01-01,16,100.0,1,7.91,-1.19,-2.27,-3.54,,39.22,6.74,,3.31,9.97,0.0,0.0
山东省,jma_seamless,2024-12-29,3,2025-01-01,16,100.0,1,7.82,-0.53,-1.93,-1.99,,37.69,5.74,,2.26,,0.0,0.0
山东省,jma_seamless,2024-12-28,4,2025-01-01,16,100.0,1,7.72,-0.83,-1.95,-1.29,,38.62,4.6,,3.6,,0.0,0.0
山东省,jma_seamless,2024-12-27,5,2025-01-01,16,100.0,1,7.32,-0.91,-2.02,-0.39,,41.35,4.4,,1.42,,0.0,0.0
山东省,jma_seamless,2024-12-26,6,2025-01-01,16,100.0,1,6.59,-0.62,-2.66,-3.61,,37.23,9.2,,5.6,,0.0,0.0
山东省,jma_seamless,2024-12-25,7,2025-01-01,16,100.0,1,4.51,-1.85,-3.84,-6.31,,30.29,13.78,,2.83,,0.0,0.0
山东省,ecmwf_ifs025,2025-01-01,1,2025-01-02,16,100.0,1,5.76,-2.69,-3.44,-6.44,,65.2,9.9,,10.82,9.11,0.0,
山东省,ecmwf_ifs025,2024-12-31,2,2025-01-02,16,100.0,1,5.88,-2.93,-3.51,-6.72,,64.46,9.89,,5.29,9.48,0.0,
山东省,ecmwf_ifs025,2024-12-30,3,2025-01-02,16,100.0,1,5.61,-2.56,-3.56,-6.57,,65.53,10.58,,8.98,9.22,0.0,
山东省,ecmwf_ifs025,2024-12-29,4,2025-01-02,16,100.0,1,5.75,-2.53,-3.78,-6.6,,64.37,11.17,,15.71,9.5,0.0,
山东省,ecmwf_ifs025,2024-12-28,5,2025-01-02,16,100.0,1,4.38,-3.44,-4.79,-8.01,,55.73,12.47,,6.58,9.4,0.0,
山东省,ecmwf_ifs025,2024-12-27,6,2025-01-02,16,100.0,1,2.99,-3.81,-5.66,-7.91,,50.81,10.21,,1.32,11.36,0.0,
山东省,ecmwf_ifs025,2024-12-26,7,2025-01-02,16,100.0,1,4.48,-4.58,-4.98,-7.29,,55.62,5.77,,5.2,11.6,0.0,
山东省,gfs_seamless,2025-01-01,1,2025-01-02,16,100.0,1,5.64,-0.17,-2.36,-3.8,,50.87,11.3,29.71,55.01,8.19,0.0,0.0
山东省,gfs_seamless,2024-12-31,2,2025-01-02,16,100.0,1,5.49,-0.24,-2.64,-4.06,,49.9,11.92,32.87,62.55,8.51,0.0,0.0
